N,P,K,temperature,humidity,ph,rainfall,label
102.4,55.1,25.1,22.5,55.4,7.24,74.9,Wheat
70.4,44.8,15.6,26.6,61.8,7.08,73.2,Sunflower
18.2,46.1,22.3,22.4,50.2,6.69,50.3,Green Gram
76.8,49.5,22.0,20.9,46.1,6.56,58.6,Sunflower
19.6,38.3,17.0,25.9,46.3,6.79,108.1,Pigeon Pea
118.7,44.1,36.2,29.1,45.8,7.91,93.2,Cotton
74.3,51.4,17.4,19.7,73.4,5.92,85.3,Maize
108.2,38.0,46.8,29.7,48.1,7.71,95.1,Cotton
21.0,29.9,17.4,25.9,35.4,6.58,50.4,Sesame
90.4,67.0,56.1,27.3,64.9,6.69,43.5,Tomato
84.1,40.1,46.3,21.5,54.4,6.01,51.4,Chili
66.8,21.2,18.3,22.5,69.7,5.7,86.6,Finger Millet
176.3,62.9,58.8,23.6,71.9,6.11,183.2,Sugarcane
112.9,53.4,107.9,19.3,60.4,5.89,70.8,Potato
46.6,22.5,19.1,29.3,62.8,5.75,75.9,Finger Millet
87.4,59.2,50.5,31.4,87.9,6.1,288.3,Rice
24.7,50.1,23.1,15.3,44.4,6.65,44.9,Lentil
23.6,37.5,20.7,23.4,69.1,7.36,67.4,Black Gram
18.1,48.3,21.7,17.9,44.2,6.19,26.3,Lentil
62.2,59.3,17.3,20.7,61.1,6.08,60.1,Maize
21.6,43.2,17.8,22.3,39.8,6.17,35.9,Lentil
19.8,42.3,19.3,16.3,54.0,6.71,32.7,Chickpea
50.8,26.8,17.9,24.6,46.2,6.56,56.7,Mustard
16.1,47.0,18.2,24.5,40.7,6.69,46.9,Chickpea
100.8,48.4,27.4,17.6,55.0,6.93,85.3,Wheat
118.6,60.1,83.8,23.0,60.9,5.06,76.8,Potato
17.2,43.6,21.5,22.3,35.0,6.94,24.9,Lentil
66.7,26.7,19.6,20.8,61.8,6.48,62.2,Finger Millet
24.7,46.1,17.3,28.8,55.0,6.33,73.6,Groundnut
209.4,48.5,46.1,31.3,68.0,7.21,232.3,Sugarcane
112.1,51.5,22.2,13.7,51.6,7.09,74.8,Wheat
117.0,43.6,58.1,23.1,52.6,6.83,40.1,Chili
106.5,53.9,26.0,18.0,51.2,6.84,97.9,Wheat
110.0,54.6,58.5,21.8,62.2,6.46,53.8,Tomato
31.5,22.4,17.3,30.7,40.4,5.72,56.2,Sesame
22.8,50.1,24.6,25.9,54.4,6.36,106.4,Pigeon Pea
83.2,48.1,43.2,31.8,72.2,5.9,295.4,Rice
29.8,64.6,27.5,29.6,76.1,6.38,109.4,Soybean
135.0,48.9,112.9,17.3,58.5,6.35,58.2,Potato
27.6,15.7,13.4,28.9,54.8,5.81,54.1,Sesame
132.1,50.8,98.7,23.2,61.7,5.32,51.4,Potato
26.5,79.2,17.1,26.7,64.0,6.79,109.2,Soybean
17.0,35.2,21.3,18.2,54.5,6.19,30.4,Lentil
99.4,56.1,45.9,21.0,60.4,6.53,79.9,Chili
118.7,41.1,51.8,26.8,69.7,6.94,75.6,Chili
23.7,75.8,24.2,29.3,64.6,6.12,70.3,Soybean
111.3,44.1,45.7,24.9,59.0,6.52,67.2,Chili
88.1,39.1,38.3,30.1,83.3,6.02,203.8,Rice
94.1,46.4,38.0,24.6,47.1,7.07,64.9,Cotton
23.7,36.9,24.4,23.7,63.3,6.67,97.8,Pigeon Pea
19.7,58.2,23.7,24.4,51.1,7.28,42.0,Chickpea
19.2,43.8,21.3,29.7,55.7,6.89,57.5,Black Gram
22.7,46.9,18.4,17.6,37.4,6.51,37.6,Lentil
108.8,45.8,41.0,29.0,59.7,6.28,75.8,Chili
88.2,45.6,18.5,21.6,60.3,6.05,84.2,Maize
174.5,63.4,77.9,22.0,71.1,6.69,199.8,Sugarcane
74.8,17.7,19.5,27.2,33.2,7.41,41.8,Pearl Millet
103.8,52.4,29.8,13.8,63.9,6.61,71.4,Wheat
22.1,44.8,17.6,23.8,46.5,6.22,28.1,Lentil
15.7,46.7,21.5,20.3,53.9,6.59,47.8,Chickpea
21.7,60.9,20.7,25.0,40.7,6.42,26.4,Chickpea
85.6,53.4,52.3,25.8,50.8,6.7,77.1,Cotton
31.6,56.7,29.3,29.4,61.0,6.0,52.0,Groundnut
28.8,56.4,17.5,26.1,58.9,6.71,68.8,Groundnut
72.9,28.4,21.3,13.1,53.9,6.44,36.8,Mustard
16.0,65.0,15.2,23.4,42.3,7.26,42.2,Chickpea
23.3,35.8,15.2,25.7,58.0,6.84,86.7,Black Gram
21.8,52.5,19.3,26.1,65.3,6.87,47.8,Green Gram
23.2,44.0,18.3,26.7,71.4,6.19,84.3,Black Gram
26.2,46.8,16.2,17.5,53.4,6.87,41.3,Chickpea
20.0,52.4,22.0,27.0,54.9,6.87,84.5,Pigeon Pea
29.0,47.7,23.7,22.6,40.0,6.05,24.1,Chickpea
19.9,42.1,23.9,23.7,53.0,6.87,71.3,Green Gram
22.3,79.0,15.6,29.8,60.1,6.87,85.4,Soybean
211.8,50.7,76.4,24.8,71.2,7.09,180.5,Sugarcane
84.8,32.6,20.3,26.2,45.1,6.18,56.9,Sorghum
24.9,50.9,23.2,24.1,37.4,6.8,31.4,Chickpea
19.1,55.8,24.8,24.9,45.2,5.71,76.1,Pigeon Pea
21.6,36.1,24.2,24.7,45.6,6.53,84.1,Pigeon Pea
117.9,56.4,51.0,28.7,69.8,6.61,70.6,Chili
19.7,46.5,21.7,25.4,61.9,6.64,62.9,Pigeon Pea
106.4,63.8,108.4,16.8,66.9,5.42,71.7,Potato
217.6,68.7,68.9,29.8,68.5,7.08,211.8,Sugarcane
23.4,18.2,15.3,26.8,47.7,5.94,62.7,Sesame
93.0,49.2,20.9,21.0,57.8,6.67,61.9,Wheat
92.4,43.1,49.6,28.4,87.7,5.97,167.9,Rice
136.7,67.4,116.4,21.7,52.1,5.66,45.3,Potato
26.7,51.1,19.9,22.8,42.6,6.66,35.0,Chickpea
96.8,52.4,22.3,25.8,60.5,6.77,69.8,Maize
41.5,27.4,16.2,24.0,53.8,6.39,90.2,Finger Millet
24.0,39.7,18.8,26.4,57.2,6.42,54.9,Groundnut
117.1,59.7,46.6,22.0,54.2,7.58,61.4,Cotton
118.3,63.6,63.2,24.1,67.6,6.25,71.1,Brinjal
35.3,53.6,18.7,29.8,65.0,6.4,60.5,Groundnut
21.1,55.4,27.4,25.9,56.5,6.48,79.8,Groundnut
54.5,29.1,12.8,28.3,42.5,7.42,57.9,Pearl Millet
111.2,52.1,53.8,22.7,67.0,6.71,92.8,Brinjal
110.4,45.6,85.6,19.0,55.6,6.15,44.3,Potato
20.8,55.3,15.3,22.1,62.2,6.24,81.1,Soybean
24.1,50.1,23.3,24.3,50.5,5.9,86.8,Pigeon Pea
18.6,41.0,17.1,22.4,50.9,7.31,72.1,Green Gram
63.5,29.8,15.0,19.3,46.8,7.46,40.8,Mustard
66.7,29.2,22.3,30.7,46.7,7.17,83.1,Sorghum
63.4,29.1,11.7,29.7,27.3,7.2,46.5,Pearl Millet
62.2,28.1,21.7,31.8,37.9,6.2,71.6,Sorghum
92.6,58.2,51.8,26.0,55.2,6.84,87.7,Tomato
110.5,60.9,118.2,21.2,68.5,6.18,69.1,Potato
95.8,51.0,45.9,29.8,55.8,6.44,45.2,Chili
20.5,50.8,21.2,15.7,45.1,6.27,43.0,Chickpea
104.0,64.0,45.8,25.5,74.4,6.78,64.1,Brinjal
50.0,37.4,22.9,31.3,48.8,6.23,62.9,Sorghum
31.4,28.1,16.5,34.5,40.6,6.39,59.2,Sesame
45.1,25.8,18.5,24.3,64.5,5.87,89.7,Finger Millet
65.7,33.9,16.9,31.4,36.5,7.33,84.8,Sorghum
134.8,50.5,98.2,22.7,66.5,6.34,77.6,Potato
103.5,62.9,57.1,26.3,65.1,6.76,84.6,Brinjal
18.0,47.7,16.6,26.7,60.1,5.67,83.4,Pigeon Pea
86.8,57.6,39.0,29.9,45.1,6.53,70.0,Cotton
18.0,45.6,19.1,24.7,52.6,7.23,84.8,Green Gram
192.9,56.7,73.4,29.4,75.1,7.28,225.1,Sugarcane
34.8,71.6,25.2,22.3,72.1,6.48,75.3,Soybean
98.1,48.1,43.8,26.0,81.2,5.66,177.3,Rice
109.5,48.7,66.7,22.8,70.7,6.37,79.9,Brinjal
187.3,45.9,78.3,24.0,65.3,6.11,208.0,Sugarcane
108.4,42.7,23.5,15.3,69.3,6.73,90.3,Wheat
56.1,30.2,21.8,26.3,51.7,5.07,72.8,Finger Millet
126.4,51.1,117.6,15.1,50.1,5.76,59.5,Potato
94.2,46.0,23.5,26.0,56.2,6.86,82.4,Maize
101.3,36.3,41.7,23.3,71.3,6.49,198.4,Rice
104.4,45.1,64.5,27.0,57.6,6.78,80.4,Brinjal
72.0,28.1,23.3,33.1,45.3,6.56,52.8,Sorghum
67.2,31.6,23.2,14.4,44.3,6.02,44.5,Mustard
23.6,59.0,24.6,30.8,60.8,6.41,98.9,Groundnut
80.8,42.1,29.5,15.8,65.4,6.94,69.1,Wheat
107.4,40.4,41.1,25.3,53.8,6.63,67.6,Chili
91.8,59.0,55.2,27.7,63.1,6.39,55.1,Brinjal
118.3,46.0,46.3,26.1,67.8,6.36,68.6,Brinjal
208.2,62.7,78.7,27.3,66.7,6.9,218.7,Sugarcane
21.1,52.0,15.7,25.9,60.4,6.74,68.5,Pigeon Pea
84.9,45.3,56.7,29.0,60.8,6.03,86.3,Chili
112.8,69.0,103.6,22.1,50.9,5.16,72.6,Potato
182.3,68.9,56.0,30.9,69.6,6.29,201.9,Sugarcane
22.0,47.5,16.9,26.7,69.4,6.79,65.8,Black Gram
38.7,38.4,22.3,26.1,65.1,6.72,57.0,Groundnut
112.8,59.1,38.6,26.4,53.5,6.67,88.3,Cotton
111.9,62.8,66.5,29.4,70.7,6.35,71.7,Brinjal
79.7,46.9,21.0,28.4,59.6,7.12,47.8,Sunflower
153.8,68.5,64.6,28.2,72.4,7.17,166.7,Sugarcane
88.1,26.5,18.5,30.1,53.5,7.31,45.1,Sorghum
65.6,24.7,17.2,34.6,45.4,6.84,60.8,Sorghum
103.6,53.0,40.5,25.5,61.9,6.21,50.4,Chili
24.3,40.3,16.9,19.9,54.0,6.58,37.0,Chickpea
19.0,62.6,18.2,20.5,36.0,6.07,48.8,Chickpea
68.9,36.6,24.9,23.5,43.2,6.56,38.9,Mustard
25.3,60.8,24.3,26.1,79.8,6.98,101.8,Soybean
86.1,53.5,18.2,23.8,62.9,6.66,70.0,Maize
87.0,58.4,42.2,28.7,60.9,6.04,63.2,Chili
22.0,41.3,20.1,20.3,47.6,6.83,97.6,Pigeon Pea
161.2,67.4,55.3,29.0,80.6,7.44,199.9,Sugarcane
15.1,42.1,23.1,22.7,53.3,7.28,47.3,Chickpea
103.3,55.9,89.4,23.9,60.8,5.99,51.2,Potato
20.7,42.1,18.8,19.1,49.6,6.45,45.7,Lentil
174.2,46.1,70.2,31.5,70.3,6.13,197.6,Sugarcane
76.2,35.5,15.2,21.3,37.2,7.18,35.0,Mustard
45.5,29.3,13.3,31.6,43.8,7.5,58.4,Pearl Millet
102.9,50.8,44.0,24.9,76.6,6.17,262.9,Rice
107.1,54.8,56.6,18.8,66.1,6.33,46.1,Tomato
102.9,68.0,67.2,24.1,55.8,5.56,64.2,Brinjal
21.7,46.0,15.9,27.2,49.3,5.8,80.6,Pigeon Pea
114.4,55.3,113.4,19.6,64.6,5.03,58.6,Potato
22.7,76.8,26.1,27.3,68.1,6.26,119.0,Soybean
162.5,47.1,75.9,31.1,70.5,6.57,216.0,Sugarcane
105.6,46.4,44.2,21.1,48.5,6.98,101.1,Cotton
101.0,45.4,58.8,23.8,63.5,6.07,84.7,Tomato
19.3,50.2,18.7,24.4,64.6,6.63,84.3,Green Gram
50.8,18.0,17.8,34.1,34.3,7.4,56.9,Pearl Millet
105.9,54.0,43.5,29.7,62.3,6.16,41.0,Chili
42.5,34.8,21.7,22.9,59.6,5.2,98.3,Finger Millet
51.3,33.2,20.3,26.0,34.3,6.85,54.8,Sorghum
103.1,53.0,53.2,26.7,65.6,6.0,57.5,Brinjal
22.1,36.0,19.1,29.1,54.5,7.19,70.2,Green Gram
106.7,51.1,47.0,28.9,51.6,6.47,78.8,Chili
60.9,47.6,25.1,22.1,61.7,6.43,47.5,Sunflower
21.1,46.7,20.5,21.4,40.2,6.08,23.6,Lentil
19.8,42.5,19.9,20.8,38.8,6.9,40.2,Lentil
38.1,18.5,12.0,25.1,49.1,6.91,41.5,Sesame
164.8,69.4,70.4,31.1,71.1,7.11,221.4,Sugarcane
34.7,47.9,27.2,29.8,62.3,6.15,91.8,Groundnut
26.7,57.2,19.3,28.3,63.0,6.65,115.9,Soybean
199.6,48.3,68.4,30.8,73.5,6.62,194.3,Sugarcane
24.8,51.3,24.6,20.0,50.0,6.89,106.6,Pigeon Pea
93.3,43.5,55.4,24.0,60.1,6.64,85.5,Chili
19.9,44.8,17.6,23.4,53.2,6.58,85.6,Pigeon Pea
137.3,59.3,91.9,24.0,63.6,5.61,62.4,Potato
51.6,25.8,19.3,12.8,50.8,6.79,30.9,Mustard
33.9,16.4,19.4,33.3,52.2,6.86,49.3,Sesame
20.8,51.3,24.9,18.9,35.9,6.8,38.1,Lentil
22.7,42.2,22.3,23.0,65.8,6.8,56.7,Green Gram
20.0,49.2,17.5,18.2,41.7,6.03,30.2,Lentil
97.9,55.0,22.7,24.0,59.9,7.49,92.6,Wheat
19.9,47.1,18.3,24.8,48.3,6.04,29.8,Lentil
64.2,40.1,23.8,24.5,41.5,7.2,36.3,Mustard
51.4,38.0,20.2,28.3,62.9,6.28,64.8,Sunflower
83.2,52.0,57.0,20.5,66.0,6.39,48.0,Chili
93.9,57.0,23.5,15.5,67.6,7.2,82.9,Wheat
16.4,43.3,18.7,22.1,56.7,6.16,61.7,Pigeon Pea
86.0,48.1,26.1,18.2,57.5,6.59,73.0,Wheat
107.7,46.6,66.8,25.7,62.7,5.65,97.3,Brinjal
30.0,37.6,18.0,27.8,67.8,6.57,84.1,Groundnut
15.8,59.6,23.5,23.0,45.2,6.35,53.8,Chickpea
22.5,37.7,15.7,31.8,74.1,6.09,67.7,Black Gram
117.4,56.6,40.7,22.4,54.0,6.71,94.1,Cotton
21.1,44.5,23.7,22.3,67.9,7.14,80.4,Black Gram
23.8,51.9,23.0,26.6,53.0,6.27,100.2,Pigeon Pea
197.1,46.1,52.7,26.0,71.6,7.07,201.1,Sugarcane
106.8,55.6,54.5,29.5,64.8,6.69,53.1,Chili
35.1,26.8,11.0,33.4,43.2,5.89,55.2,Sesame
189.8,47.7,58.0,23.7,75.3,7.27,193.6,Sugarcane
104.4,58.6,61.3,24.2,69.1,6.08,57.8,Tomato
64.9,25.8,11.1,25.4,49.9,6.57,31.6,Pearl Millet
101.7,42.2,46.8,22.3,70.7,6.32,204.0,Rice
26.4,17.3,18.1,32.6,44.7,6.31,37.1,Sesame
32.6,26.5,17.8,32.7,39.5,6.96,69.8,Sesame
28.1,40.0,15.8,27.9,61.7,5.74,102.7,Pigeon Pea
97.3,47.8,22.6,17.7,52.1,6.96,60.8,Wheat
17.6,52.6,23.9,17.0,47.3,6.09,31.7,Lentil
26.5,59.0,17.7,26.5,60.2,6.86,70.8,Groundnut
22.8,40.1,23.3,22.0,53.9,6.41,39.9,Lentil
118.7,60.0,19.4,24.7,62.0,6.87,87.4,Wheat
109.3,69.9,61.8,18.7,57.4,6.92,71.5,Tomato
58.1,29.5,19.2,21.4,47.3,5.03,93.7,Finger Millet
199.0,55.2,64.2,31.4,68.3,6.44,165.2,Sugarcane
20.6,44.7,16.0,29.1,46.8,6.47,80.7,Pigeon Pea
101.4,42.8,39.5,25.6,57.1,6.02,99.0,Cotton
22.4,41.0,19.6,21.0,38.4,6.74,29.1,Lentil
92.9,56.4,24.2,21.9,61.4,6.5,78.6,Maize
16.6,55.3,15.4,26.6,50.5,6.81,84.2,Pigeon Pea
67.7,24.9,10.4,28.7,49.5,6.87,45.1,Pearl Millet
79.7,39.9,18.0,25.3,55.7,6.66,70.9,Sunflower
81.8,25.4,21.9,27.6,53.5,6.95,56.2,Sorghum
177.2,57.6,56.5,28.3,84.9,6.04,240.0,Sugarcane
39.7,26.9,19.9,34.7,44.8,6.54,38.9,Sesame
20.5,39.6,22.4,27.3,71.2,7.17,58.6,Black Gram
48.8,26.7,22.3,26.9,69.7,5.41,83.1,Finger Millet
127.2,54.0,65.1,23.0,62.9,6.94,65.5,Tomato
121.6,53.1,99.1,19.6,58.0,6.39,69.8,Potato
159.5,52.9,56.2,28.7,67.3,7.24,226.1,Sugarcane
23.8,52.8,24.6,30.7,55.0,6.57,82.7,Black Gram
66.3,44.1,23.9,14.2,44.5,7.46,41.2,Mustard
17.3,40.3,15.4,16.2,54.7,6.32,23.5,Lentil
126.3,46.6,95.6,17.5,61.6,5.78,59.2,Potato
33.1,18.8,14.3,25.6,46.8,6.63,49.5,Sesame
16.5,35.4,16.6,30.0,48.6,6.25,102.4,Pigeon Pea
107.5,54.8,57.5,23.3,68.8,6.71,58.9,Tomato
63.0,23.5,18.8,30.6,49.0,6.28,32.9,Pearl Millet
95.5,50.1,23.3,26.9,60.8,6.95,79.5,Maize
75.8,52.4,22.1,25.1,61.7,7.11,50.6,Sunflower
95.0,57.4,35.3,27.3,64.1,7.41,109.7,Cotton
26.7,40.5,18.3,21.3,40.5,7.36,45.4,Chickpea
94.3,48.3,46.6,18.9,63.6,6.32,75.3,Tomato
16.5,36.7,21.4,26.7,73.2,6.54,61.5,Black Gram
27.4,64.2,23.9,21.0,45.6,6.04,29.9,Chickpea
57.3,25.8,24.9,16.4,41.2,7.36,47.6,Mustard
52.6,20.9,12.4,26.0,29.5,7.48,50.3,Pearl Millet
178.1,58.2,49.3,26.9,77.2,7.5,247.5,Sugarcane
95.1,53.5,15.1,20.2,59.3,6.12,72.4,Maize
60.7,23.7,19.4,31.7,37.0,7.5,58.5,Pearl Millet
88.2,35.8,45.3,21.8,54.4,7.87,96.0,Cotton
113.0,53.6,47.7,27.1,61.1,7.32,76.4,Cotton
20.7,38.0,19.7,30.3,50.3,6.41,45.1,Green Gram
17.2,49.1,22.8,26.6,69.0,6.58,56.4,Black Gram
125.8,51.4,55.5,28.3,70.4,6.56,75.9,Brinjal
133.1,49.4,96.5,21.9,69.6,6.43,76.0,Potato
116.0,67.9,94.4,22.7,68.1,5.75,57.9,Potato
98.6,57.7,22.2,22.8,72.4,5.96,99.5,Maize
43.2,23.5,19.1,29.0,32.4,6.43,34.5,Pearl Millet
18.7,47.2,22.0,18.4,37.2,6.07,37.7,Lentil
25.6,58.6,28.3,24.7,60.3,6.23,70.5,Groundnut
66.3,32.4,22.0,18.2,51.7,7.02,50.5,Mustard
110.2,37.6,53.1,27.1,86.5,5.82,284.3,Rice
17.6,45.3,20.7,31.3,67.9,6.62,87.2,Black Gram
82.4,54.1,56.4,26.6,50.3,6.18,57.1,Chili
112.9,51.5,38.3,27.6,59.5,6.85,106.2,Cotton
103.5,54.5,69.3,18.1,74.7,6.98,89.8,Tomato
73.6,31.7,23.8,20.0,51.4,6.82,36.6,Mustard
33.3,49.6,22.3,25.5,67.9,6.25,54.6,Groundnut
22.9,28.5,10.8,33.2,38.0,5.56,60.2,Sesame
20.5,59.0,23.2,28.5,48.4,5.91,74.3,Pigeon Pea
18.2,40.2,15.4,27.8,59.6,6.22,76.2,Black Gram
15.0,41.1,16.1,26.7,68.5,7.31,80.0,Black Gram
87.9,28.0,22.8,27.7,54.8,6.04,70.2,Sorghum
73.8,20.9,10.5,29.0,41.8,6.92,52.5,Pearl Millet
71.3,32.8,23.4,20.8,49.0,6.8,56.6,Mustard
97.9,47.4,18.8,19.5,70.7,6.68,79.2,Maize
16.5,36.5,23.1,22.5,50.1,6.72,40.1,Lentil
47.2,19.0,12.0,27.5,32.7,7.09,47.6,Pearl Millet
107.4,39.1,53.2,30.2,89.0,6.23,242.0,Rice
17.3,53.0,23.3,27.5,67.3,6.71,65.7,Black Gram
21.0,59.5,17.3,26.1,53.7,5.61,84.4,Pigeon Pea
20.1,44.5,17.7,15.3,47.1,6.4,29.0,Lentil
27.5,46.6,19.5,20.4,48.3,7.18,35.8,Chickpea
57.7,15.7,18.2,33.3,39.7,6.76,54.0,Pearl Millet
55.7,36.4,23.1,22.0,51.1,7.32,58.1,Mustard
57.3,23.1,23.3,25.4,40.5,6.25,84.0,Sorghum
84.4,35.8,47.2,29.5,64.8,6.97,83.4,Cotton
106.2,45.6,60.1,22.9,63.7,6.14,53.2,Brinjal
97.1,40.5,41.3,26.5,69.3,6.55,65.3,Chili
21.4,51.8,16.6,15.3,53.9,6.36,29.6,Chickpea
94.2,40.9,40.3,24.8,51.9,6.19,82.3,Chili
17.7,45.2,19.4,27.1,68.5,6.58,60.1,Black Gram
105.0,48.2,44.7,25.1,65.9,6.83,82.3,Chili
128.7,69.4,112.3,17.5,64.2,6.14,69.2,Potato
37.9,56.7,28.4,26.2,50.7,6.26,63.9,Groundnut
89.5,57.1,17.0,23.3,69.0,6.62,80.4,Maize
60.9,29.8,15.8,29.6,37.7,7.23,42.8,Sorghum
25.0,50.0,21.4,18.6,36.0,6.03,36.6,Lentil
86.0,35.8,21.8,31.8,53.6,6.44,40.1,Sorghum
119.6,66.7,114.3,22.3,51.2,5.37,75.0,Potato
51.3,21.0,18.1,25.1,41.2,7.27,54.0,Pearl Millet
119.2,42.5,47.5,29.3,67.5,6.39,74.9,Chili
188.5,62.7,69.0,26.7,74.3,6.6,236.2,Sugarcane
119.4,51.8,69.8,21.8,59.3,5.88,98.8,Brinjal
18.5,53.4,24.3,24.4,66.0,6.65,81.7,Green Gram
55.6,35.8,17.8,16.2,42.0,6.09,59.6,Mustard
43.1,15.1,16.7,31.4,35.3,6.98,42.5,Pearl Millet
20.6,48.0,16.5,28.5,53.7,7.13,58.6,Green Gram
19.0,49.9,20.8,18.9,38.4,6.23,37.3,Lentil
82.6,35.6,22.6,26.9,32.2,7.05,58.4,Sorghum
108.1,48.3,52.0,24.3,59.3,6.89,48.1,Chili
95.1,46.3,64.2,24.7,65.0,6.47,64.9,Tomato
30.9,20.8,10.0,32.3,50.0,6.62,47.1,Sesame
95.9,57.7,68.0,28.6,74.4,6.35,83.8,Brinjal
62.9,41.6,21.2,26.0,65.0,6.74,48.3,Sunflower
38.2,21.6,17.5,34.3,53.2,5.59,42.2,Sesame
53.8,27.5,15.7,26.8,57.6,6.38,74.3,Finger Millet
17.3,35.5,18.8,23.4,64.2,6.99,46.8,Green Gram
50.4,34.3,22.1,31.2,54.8,6.47,57.0,Sorghum
71.7,51.3,27.8,20.8,51.9,7.03,59.9,Sunflower
97.4,45.0,47.3,28.4,70.9,5.87,243.9,Rice
55.6,21.1,21.3,22.5,65.1,6.47,98.9,Finger Millet
20.6,53.9,19.1,18.3,47.1,6.93,45.1,Lentil
64.0,17.5,13.8,31.2,49.2,7.36,57.7,Pearl Millet
24.0,43.2,20.2,26.8,64.0,7.16,71.1,Black Gram
16.9,42.8,24.5,24.5,63.4,7.11,62.9,Green Gram
97.6,52.4,47.7,22.0,60.6,7.44,92.8,Cotton
21.6,47.8,17.1,22.3,58.7,6.85,80.1,Green Gram
26.1,55.4,23.9,22.1,60.0,6.62,79.5,Soybean
24.9,25.7,15.2,31.8,40.4,6.4,50.5,Sesame
19.2,49.6,23.0,31.5,62.2,6.38,82.0,Green Gram
83.2,52.4,42.6,22.2,62.2,7.23,77.7,Cotton
33.0,29.5,15.1,34.9,41.0,5.55,40.8,Sesame
37.8,15.6,10.7,28.3,39.7,5.9,42.7,Sesame
16.7,42.2,17.9,28.1,68.1,7.44,71.1,Green Gram
156.2,55.3,64.1,26.1,83.0,7.36,232.2,Sugarcane
176.0,60.5,65.1,25.3,71.1,6.61,207.4,Sugarcane
23.6,26.8,18.4,30.5,46.1,6.45,50.4,Sesame
17.1,47.7,22.6,31.9,58.6,7.15,63.6,Black Gram
122.7,61.3,55.6,22.3,56.4,6.2,99.5,Brinjal
34.7,35.2,23.1,30.4,55.3,6.6,83.4,Groundnut
110.9,40.7,16.0,18.0,68.2,6.81,74.9,Wheat
21.3,49.6,21.8,26.7,62.8,6.56,75.6,Black Gram
20.8,60.3,16.1,24.3,72.5,6.57,100.6,Soybean
28.9,53.6,21.6,24.0,37.0,6.35,48.4,Chickpea
21.8,54.9,17.3,28.2,64.2,6.06,50.6,Black Gram
19.4,37.3,23.4,22.3,66.7,6.21,80.5,Green Gram
118.4,51.0,56.9,23.2,58.8,6.47,53.9,Chili
28.1,44.8,19.5,27.7,55.0,6.37,90.0,Groundnut
93.3,46.0,18.0,20.3,58.9,5.87,77.1,Maize
134.2,54.7,84.6,22.6,60.0,5.19,44.6,Potato
60.5,19.3,10.1,30.0,32.1,7.38,30.7,Pearl Millet
26.7,58.3,17.5,25.8,50.5,6.74,60.3,Pigeon Pea
17.9,49.2,16.2,26.1,72.0,6.55,73.6,Black Gram
51.9,26.6,13.9,26.4,25.3,7.07,59.3,Pearl Millet
19.7,43.3,23.4,24.3,50.1,6.98,53.1,Green Gram
107.2,65.4,54.7,26.5,67.7,6.14,72.5,Tomato
100.1,67.7,52.4,23.7,57.0,6.67,64.3,Brinjal
21.2,43.3,23.6,17.5,54.6,6.61,43.8,Lentil
128.6,63.4,119.9,21.9,57.7,5.84,54.7,Potato
22.4,38.0,24.1,30.9,68.1,7.01,50.2,Black Gram
90.9,51.8,66.6,20.4,63.7,5.65,70.8,Brinjal
33.7,79.7,28.1,30.0,64.9,6.84,111.2,Soybean
38.9,50.3,25.7,30.1,55.3,6.05,50.1,Groundnut
47.0,27.4,18.1,21.8,57.6,5.58,62.9,Finger Millet
123.7,53.5,68.9,22.1,55.8,6.63,87.6,Brinjal
93.4,54.3,37.1,22.8,84.6,6.0,253.3,Rice
64.2,31.5,16.1,26.4,65.9,6.04,82.3,Finger Millet
37.9,46.0,18.5,27.3,64.3,6.11,63.5,Groundnut
95.2,66.8,53.9,24.3,58.2,6.21,89.6,Tomato
72.6,24.0,13.9,29.7,46.4,6.74,56.1,Pearl Millet
15.2,42.5,24.0,24.7,55.5,6.45,69.5,Green Gram
206.2,57.2,58.4,30.1,74.8,6.37,200.7,Sugarcane
27.0,79.7,21.4,26.8,61.1,6.84,102.4,Soybean
17.4,37.0,17.6,23.8,55.6,7.36,50.3,Black Gram
34.8,66.7,18.8,29.1,69.8,6.6,74.8,Soybean
111.7,43.1,45.0,26.6,49.6,7.44,87.4,Cotton
40.9,29.7,10.9,33.1,32.0,6.41,43.2,Pearl Millet
96.7,58.8,20.8,21.2,70.8,6.1,88.2,Maize
32.0,62.5,27.7,28.1,65.9,6.43,79.3,Soybean
24.6,48.9,21.0,26.6,62.3,6.53,75.5,Black Gram
19.9,46.9,21.0,29.9,63.8,6.79,104.5,Pigeon Pea
15.2,41.2,21.4,22.1,55.7,7.28,77.4,Black Gram
35.0,46.2,24.2,29.5,60.3,6.48,82.3,Groundnut
66.1,23.1,20.7,27.8,53.0,6.87,69.6,Sorghum
95.6,43.6,16.5,18.2,67.9,6.56,77.0,Maize
65.1,39.1,16.0,21.7,64.7,6.7,74.7,Sunflower
98.2,48.2,52.0,29.4,63.6,6.02,106.1,Cotton
40.3,26.1,18.3,26.9,64.2,5.55,90.6,Finger Millet
105.7,41.5,40.1,21.5,58.5,6.8,54.1,Chili
80.2,59.2,19.2,26.9,68.4,6.56,68.3,Maize
104.2,57.3,68.0,22.8,55.3,6.44,81.0,Tomato
52.8,39.3,15.7,18.5,44.5,6.47,56.1,Mustard
74.9,17.5,10.5,32.2,36.9,7.56,41.5,Pearl Millet
16.5,49.2,21.8,15.2,43.2,6.33,40.1,Lentil
134.7,69.9,111.2,20.5,51.6,6.09,68.3,Potato
